Epoch	AvgRewardsLast100Ep	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
68	1.4879709482192993	1.9575	1.3279	3.62	0.0	1000.0	0.2348226	0.14694366	0.6788823	-0.26003242	276000	0.0	0.040205687	-0.015754942	-0.03447862	0.631035	0.015268408	0.1625	7.0	227.2779369354248
69	1.50553560256958	2.7175	0.79089737	3.3799999	1.37	1000.0	0.2865569	0.15115394	0.74760246	-0.10319533	280000	3.7252903e-09	0.052596413	-0.034633704	-0.042964656	0.63027287	0.015962765	0.22325	20.0	230.51622200012207
70	1.5315492153167725	3.3525	1.4064561	5.66	2.01	1000.0	0.27976745	0.16092497	0.78439635	-0.24469563	284000	1.8626451e-08	0.086428285	-0.013950839	-0.06681789	0.62688106	0.016691376	0.159	6.0	233.84708094596863
71	1.557083249092102	3.37	0.98840773	4.8199997	2.05	1000.0	0.37859437	0.19458103	0.9289173	-0.07496029	288000	-7.450581e-09	0.07191711	-0.013364951	-0.05329577	0.62627846	0.01528573	0.1785	7.0	236.97973084449768
72	1.569828748703003	2.4875	0.61116177	3.11	1.5	1000.0	0.28827983	0.22470263	0.96260035	-0.52879936	292000	3.7252903e-09	0.04989865	-0.026585959	-0.04487828	0.6256464	0.015109776	0.21000001	12.0	240.1762638092041
73	1.5841553211212158	2.63	0.504133	3.26	2.1299999	1000.0	0.21435206	0.1500434	0.85579216	-0.2764135	296000	-9.313226e-09	0.034234636	-0.04808395	-0.028481992	0.62420416	0.015023818	0.23075	31.0	243.42030906677246
74	1.5978000164031982	2.6075	0.2112315	2.83	2.27	1000.0	0.29707208	0.16438814	0.74261236	-0.19788174	300000	2.7939677e-09	0.03562372	-0.035418384	-0.029035732	0.622432	0.015029751	0.17925	19.0	246.64966201782227
75	1.603026270866394	1.9949999	1.3145816	3.3899999	0.0	1000.0	0.20943253	0.13305755	0.77084965	-0.2260709	304000	-1.1175871e-08	0.031096028	-0.036743186	-0.026194893	0.62046415	0.015167653	0.20925	21.0	249.7627730369568
76	1.6348376274108887	4.0525	0.596128	4.8599997	3.22	1000.0	0.23664202	0.13805898	0.77996427	-0.2785475	308000	1.9557774e-08	0.10631951	-0.031193271	-0.07949713	0.61736584	0.015019785	0.171	20.0	252.93959283828735
77	1.6511218547821045	2.905	1.3535972	4.63	0.85999995	1000.0	0.35710436	0.14465575	0.8634183	-0.06756577	312000	0.0	0.06417163	-0.034574114	-0.055619154	0.61535454	0.015959432	0.18875	20.0	256.55828499794006
78	1.656582236289978	2.0825	0.5394152	2.8899999	1.38	1000.0	0.30636746	0.16081859	0.9040968	-0.1450176	316000	7.450581e-09	0.0452358	-0.029905276	-0.038709946	0.61254466	0.015599648	0.16725	15.0	259.9570858478546
